id_car;pages_href
1;https://cars.av.by/nissan/terrano/16724047
2;https://cars.av.by/hyundai/santa-fe/16721632
3;https://cars.av.by/mitsubishi/outlander/16721600
4;https://cars.av.by/nissan/x-trail/16721571
5;https://cars.av.by/kia/ceed/16719276
6;https://cars.av.by/land-rover/freelander/16718373
7;https://cars.av.by/peugeot/5008/16716572
8;https://cars.av.by/mazda/3/16716523
9;https://cars.av.by/skoda/superb/16710828
10;https://cars.av.by/nissan/qashqai/16705055
11;https://cars.av.by/kia/sportage/16703966
12;https://cars.av.by/ford/c-max/16701022
13;https://cars.av.by/skoda/kodiaq/16700868
14;https://cars.av.by/nissan/qashqai/16699177
15;https://cars.av.by/toyota/rav4/16688738
16;https://cars.av.by/nissan/qashqai/16688699
17;https://cars.av.by/chevrolet/captiva/16671803
18;https://cars.av.by/nissan/qashqai/16670548
19;https://cars.av.by/nissan/x-trail/16665691
20;https://cars.av.by/bmw/x1/16665669
21;https://cars.av.by/volkswagen/passat/16665637
22;https://cars.av.by/nissan/note/16665545
23;https://cars.av.by/toyota/avensis/16654396
24;https://cars.av.by/nissan/qashqai/16653811
25;https://cars.av.by/lada-vaz/kalina/16653800
26;https://cars.av.by/nissan/tiida/16599656
27;https://cars.av.by/nissan/qashqai/16589476
28;https://cars.av.by/kia/sportage/16587979
29;https://cars.av.by/nissan/note/16582645
30;https://cars.av.by/nissan/qashqai/16582285
31;https://cars.av.by/volkswagen/polo-sedan/16582158
32;https://cars.av.by/renault/sandero/16574386
33;https://cars.av.by/nissan/juke/16536387
34;https://cars.av.by/nissan/qashqai/16519320
35;https://cars.av.by/renault/scenic/16473767
36;https://cars.av.by/renault/grand-scenic/16703236
37;https://cars.av.by/renault/grand-scenic/16763204
38;https://cars.av.by/bmw/3-seriya/16689332
39;https://cars.av.by/audi/100/16713133
40;https://cars.av.by/mazda/6/16347237
41;https://cars.av.by/audi/100/16567140
42;https://cars.av.by/ford/mondeo/16559267
43;https://cars.av.by/renault/logan/16685972
