id_car;pages_href
1;https://cars.av.by/hyundai/solaris/16604923
2;https://cars.av.by/mercedes-benz/a-klass/16529627
3;https://cars.av.by/bmw/x5/16704589
4;https://cars.av.by/opel/corsa/16720276
5;https://cars.av.by/kia/rio/16751989
6;https://cars.av.by/volkswagen/jetta/16729747
7;https://cars.av.by/bmw/7-seriya/16658048
8;https://cars.av.by/renault/logan/16572966
9;https://cars.av.by/renault/scenic/16660243
10;https://cars.av.by/kia/sportage/16737903
11;https://cars.av.by/fiat/stilo/16748050
12;https://cars.av.by/audi/a6/16306105
13;https://cars.av.by/bmw/x5/16665229
14;https://cars.av.by/mazda/6/16542935
15;https://cars.av.by/hyundai/santa-fe/16541205
16;https://cars.av.by/ford/mondeo/16753929
17;https://cars.av.by/skoda/fabia/16761519
18;https://cars.av.by/opel/zafira/16753490
19;https://cars.av.by/porsche/macan/16746225
20;https://cars.av.by/ford/mondeo/16764605
21;https://cars.av.by/bmw/5-seriya/16429952
22;https://cars.av.by/hyundai/equus/15358311
23;https://cars.av.by/lexus/rx/16744028
24;https://cars.av.by/volvo/v40/16159723
25;https://cars.av.by/ford/tourneo-connect/16716548
26;https://cars.av.by/bmw/5-seriya/16762369
27;https://cars.av.by/audi/q7/16725536
28;https://cars.av.by/bmw/4-seriya/16736066
29;https://cars.av.by/seat/cordoba/16727098
30;https://cars.av.by/lexus/es/16408228
31;https://cars.av.by/mazda/6/16743066
32;https://cars.av.by/acura/tlx/16690042
33;https://cars.av.by/land-rover/range-rover-sport/16555808
34;https://cars.av.by/hyundai/accent/16747781
35;https://cars.av.by/mercedes-benz/e-klass/16758232
36;https://cars.av.by/bmw/5-seriya/16753964
37;https://cars.av.by/mercedes-benz/b-klass/16755880
38;https://cars.av.by/mercedes-benz/cls/16686379
39;https://cars.av.by/honda/civic/16756486
40;https://cars.av.by/rover/400/16753985
41;https://cars.av.by/audi/a6-allroad/16455755
42;https://cars.av.by/ford/scorpio/16586866
43;https://cars.av.by/bmw/x6/16583447
44;https://cars.av.by/dacia/logan/16713266
45;https://cars.av.by/bmw/7-seriya/16688418
46;https://cars.av.by/bentley/continental-gt/16745606
47;https://cars.av.by/honda/civic/16747574
48;https://cars.av.by/opel/astra/16737786
49;https://cars.av.by/hyundai/santa-fe/16721659
50;https://cars.av.by/volkswagen/caravelle/16744067
51;https://cars.av.by/volvo/s40/16753914
52;https://cars.av.by/subaru/forester/16410180
53;https://cars.av.by/peugeot/806/16726281
54;https://cars.av.by/bmw/7-seriya/16502816
55;https://cars.av.by/nissan/x-trail/16402274
56;https://cars.av.by/bmw/x5/16745401
57;https://cars.av.by/bmw/5-seriya/16590725
58;https://cars.av.by/bmw/5-seriya/16745631
59;https://cars.av.by/dodge/stratus/16699158
60;https://cars.av.by/opel/astra/16674615
61;https://cars.av.by/fiat/500l/16587581
62;https://cars.av.by/bmw/6-seriya/16728382
63;https://cars.av.by/renault/laguna/16668252
64;https://cars.av.by/volkswagen/golf/16748003
65;https://cars.av.by/aro/24/16681644
66;https://cars.av.by/renault/laguna/16683322
67;https://cars.av.by/renault/sandero/16600406
68;https://cars.av.by/citroen/berlingo/16752902
69;https://cars.av.by/opel/astra/16593460
70;https://cars.av.by/ford/focus/16734560
71;https://cars.av.by/opel/vectra/16753670
72;https://cars.av.by/kia/sportage/16753614
73;https://cars.av.by/volkswagen/sharan/16714100
74;https://cars.av.by/mercedes-benz/c-klass/16671001
75;https://cars.av.by/toyota/corolla-verso/16753600
76;https://cars.av.by/suzuki/splash/15188313
77;https://cars.av.by/peugeot/307/16701807
78;https://cars.av.by/citroen/c5/16753497
79;https://cars.av.by/opel/vectra/16753525
80;https://cars.av.by/toyota/corolla-verso/16752079
81;https://cars.av.by/alfa-romeo/166/16748874
82;https://cars.av.by/volkswagen/golf/16752210
83;https://cars.av.by/opel/astra/16742466
84;https://cars.av.by/toyota/rav4/16744987
85;https://cars.av.by/mitsubishi/pajero/16744968
86;https://cars.av.by/jaguar/s-type/16394546
87;https://cars.av.by/audi/a4/16716577
88;https://cars.av.by/mercedes-benz/cla-amg/16736256
89;https://cars.av.by/volkswagen/passat/16573477
90;https://cars.av.by/hyundai/ix35/16709555
91;https://cars.av.by/audi/a6/16747752
92;https://cars.av.by/mercedes-benz/m-klass/16727913
93;https://cars.av.by/suzuki/swift/16753177
94;https://cars.av.by/audi/a7/16511145
95;https://cars.av.by/toyota/camry/16710103
96;https://cars.av.by/opel/astra/16719439
97;https://cars.av.by/peugeot/308/16729624
98;https://cars.av.by/fiat/brava/16753085
99;https://cars.av.by/volkswagen/passat/16709133
100;https://cars.av.by/mercedes-benz/cl/14655243
101;https://cars.av.by/volkswagen/passat/16742147
102;https://cars.av.by/bmw/x4/16751905
103;https://cars.av.by/volkswagen/passat/16747580
104;https://cars.av.by/bmw/7-seriya/16600252
105;https://cars.av.by/infiniti/fx/16456983
106;https://cars.av.by/mitsubishi/l200/16425558
107;https://cars.av.by/kia/sportage/16711184
108;https://cars.av.by/mitsubishi/eclipse-cross/16569881
109;https://cars.av.by/mitsubishi/outlander/16593294
110;https://cars.av.by/toyota/rav4/16721502
111;https://cars.av.by/volvo/s40/16721907
112;https://cars.av.by/peugeot/308/16746311
113;https://cars.av.by/audi/a4/16747314
114;https://cars.av.by/audi/a4/16739980
115;https://cars.av.by/land-rover/range-rover-evoque/16549356
116;https://cars.av.by/toyota/land-cruiser/16745809
117;https://cars.av.by/land-rover/discovery-sport/16752781
118;https://cars.av.by/peugeot/308/16720534
119;https://cars.av.by/citroen/xantia/16716179
120;https://cars.av.by/bmw/x6m/16507290
121;https://cars.av.by/opel/omega/16685319
122;https://cars.av.by/opel/astra/16750045
123;https://cars.av.by/volkswagen/bora/16692367
124;https://cars.av.by/opel/signum/16685658
125;https://cars.av.by/volvo/v40/16751923
126;https://cars.av.by/peugeot/307/16745538
127;https://cars.av.by/peugeot/406/16587453
128;https://cars.av.by/volkswagen/golf/16732399
129;https://cars.av.by/nissan/murano/16752713
130;https://cars.av.by/volkswagen/passat/16556386
131;https://cars.av.by/bmw/5-seriya/16700375
132;https://cars.av.by/rover/400/16710049
133;https://cars.av.by/honda/accord/16521437
134;https://cars.av.by/kia/ceed/16741619
135;https://cars.av.by/volkswagen/passat/16752437
136;https://cars.av.by/audi/q7/16510020
137;https://cars.av.by/mercedes-benz/s-klass/16589309
138;https://cars.av.by/volkswagen/touareg/16436401
139;https://cars.av.by/hyundai/santa-fe/16752294
140;https://cars.av.by/jac/refine/16751910
141;https://cars.av.by/mercedes-benz/e-klass/16750752
142;https://cars.av.by/honda/prelude/16675223
143;https://cars.av.by/toyota/rav4/16685379
144;https://cars.av.by/chevrolet/cruze/16600345
145;https://cars.av.by/mazda/cx-5/16723365
146;https://cars.av.by/mazda/6/16738607
147;https://cars.av.by/mercedes-benz/e-klass/16468312
148;https://cars.av.by/bmw/x5/16674145
149;https://cars.av.by/bmw/3-seriya/16723603
150;https://cars.av.by/volkswagen/passat/16721658
151;https://cars.av.by/renault/grand-scenic/16743836
152;https://cars.av.by/peugeot/206/16699865
153;https://cars.av.by/mercedes-benz/vito/16745219
154;https://cars.av.by/audi/a4/16723615
155;https://cars.av.by/bmw/7-seriya/16692045
156;https://cars.av.by/peugeot/807/16256094
157;https://cars.av.by/volkswagen/passat/16746671
158;https://cars.av.by/bmw/5-seriya/16750979
159;https://cars.av.by/lexus/ls/16737037
160;https://cars.av.by/honda/legend/16654914
161;https://cars.av.by/ford/focus/16751408
162;https://cars.av.by/bmw/x5/16703734
163;https://cars.av.by/mercedes-benz/e-klass/16737224
164;https://cars.av.by/renault/scenic/16721717
165;https://cars.av.by/bmw/3-seriya/16732882
166;https://cars.av.by/renault/megane/16526313
167;https://cars.av.by/citroen/berlingo/16664158
168;https://cars.av.by/jeep/grand-cherokee/16730204
169;https://cars.av.by/nissan/qashqai/16751015
170;https://cars.av.by/nissan/patrol/16721964
171;https://cars.av.by/land-rover/range-rover-evoque/16736163
172;https://cars.av.by/mazda/3/16510701
173;https://cars.av.by/mercedes-benz/e-klass/16664502
174;https://cars.av.by/bmw/x6/16734822
175;https://cars.av.by/mitsubishi/colt/16660582
176;https://cars.av.by/toyota/corolla/16749731
177;https://cars.av.by/ford/mondeo/16730152
178;https://cars.av.by/bmw/3-seriya/16684608
